"ID","Personality_PSWQ_Concerns","Personality_RSTPQ_BIS","Personality_BISBAS_BIS","Personality_BFI_Anxiety","Covariate_Gender","Covariate_Age","Covariate_BDI_Depression","Covariate_BFI_Extraversion","Covariate_BFI_OpenMindedness","Covariate_BFI_Conscientiousness","Covariate_BFI_Agreeableness","Personality_Z_AV_notweighted","Personality_Z_AV_ItemNr","Personality_Z_AV_Reliability","Personality_PCA","Personality_FactorAnalysis"
"sub-AA06WI11",65,66,3.57142857142857,3.75,1,19,NA,2.91666666666667,2.66666666666667,2.66666666666667,3.75,1.03144627636714,0.992138699304967,1.03451075953929,"19.2961198338617","1.14424110803294"
"sub-AG04EN28",38,49,2.71428571428571,2.5,2,24,NA,3.25,3.66666666666667,3.58333333333333,3.58333333333333,-0.543438637316363,-0.570150417910532,-0.546059536051785,"-11.7455016631973","-0.6042518439436"
"sub-AG05AS29",31,41,2.71428571428571,1.5,2,20,NA,4.5,3,3.33333333333333,4,-1.13776258912254,-1.11412591425639,-1.12218425017663,"-22.385799551015","-1.23307938397304"
"sub-AH07IF27",39,71,2,3,2,23,NA,4.41666666666667,4.5,2.91666666666667,2.25,-0.254968779365849,0.0909397120870565,-0.239014920303906,"4.71862265285258","-0.300455379393976"
"sub-AH17AR05",40,52,2.28571428571429,2.5,2,23,11,3.66666666666667,3.66666666666667,4,3.75,-0.627057068814274,-0.518224852233556,-0.617943538200288,"-8.21407521387709","-0.653626466168261"
"sub-AHSAER12",43,62,2.85714285714286,3,2,28,NA,3,4,2.91666666666667,3.41666666666667,0.00865168446648898,0.0792365830007372,0.00963791540205729,"1.07336247281612","-0.0305874955413588"
"sub-AI07AS19",67,76,4,4.25,1,23,NA,2.75,3.66666666666667,4.33333333333333,3.91666666666667,1.5890014772749,1.53214163789888,1.58392753874676,"27.8839223308581","1.68564821698482"
"sub-AI09ID16",38,65,2.42857142857143,2.75,1,21,23,2.41666666666667,4.08333333333333,4.16666666666667,4.08333333333333,-0.286218687935144,-0.0642352073188016,-0.274485775624364,"-0.275681178009103","-0.348897841848629"
"sub-AJ06IR11",47,48,3,3,1,21,NA,3.5,3.08333333333333,4.08333333333333,3.91666666666667,-0.116334372721789,-0.269030985678474,-0.129195627777759,"-6.17403754586084","-0.118706573753069"
"sub-AJ07AW16",53,52,3.57142857142857,4,1,23,NA,2.91666666666667,3.83333333333333,4.25,4.16666666666667,0.621176439858223,0.246280815132155,0.577068634397027,"0.917682093762453","0.622958873114859"
"sub-AK04IO21",68,71,3.28571428571429,3.5,1,21,NA,2.58333333333333,3.25,4.5,3.58333333333333,0.985021301394483,1.14491430516618,1.01240568967274,"24.9522448236522","1.14132110178663"
"sub-AK06AS07",44,46,2.85714285714286,2,1,27,NA,4,4,3.5,4.66666666666667,-0.582214281988605,-0.543574043570679,-0.561147609781043,"-9.73327763925196","-0.579139281473518"
"sub-AK06RG17",60,78,3.42857142857143,3.75,2,24,15,2.58333333333333,3,3,3.75,1.10024471609528,1.24767077976646,1.11294951862107,"24.4139516648573","1.16781998579889"
"sub-AL07NK06",52,57,2.57142857142857,3,2,29,5,4,4.33333333333333,4,4.16666666666667,-0.0313899518392796,0.0611010446516492,-0.0198952776321494,"3.74609346650355","0.0255394053595593"
"sub-AL08AS02",60,66,3.14285714285714,3.25,1,25,NA,2.91666666666667,3.08333333333333,4.08333333333333,4,0.602690192632327,0.721075320036101,0.622455683932746,"15.7882045909555","0.699910630722993"
"sub-AM04EN20",33,32,2.14285714285714,2.25,2,23,0,2.83333333333333,3.33333333333333,3.41666666666667,4.41666666666667,-1.26914765276674,-1.43067099962275,-1.28595394423073,"-27.4339260645977","-1.33936254682656"
"sub-AN03EU29",62,69,3.14285714285714,4,1,22,NA,4.16666666666667,3.41666666666667,2.33333333333333,4.25,0.930871330581297,0.947354798333145,0.927948120934794,"19.3560858568524","1.02536565401054"
"sub-AN04AD03",26,43,2.14285714285714,1.25,2,23,NA,4.25,3.91666666666667,4.16666666666667,3.66666666666667,-1.51035426572829,-1.3249105924945,-1.48380521698021,"-24.4552711695683","-1.62298712269317"
"sub-AN04ES31",52,52,3,3.5,1,22,10,3.41666666666667,3.83333333333333,4.33333333333333,3.83333333333333,0.209353660080255,0.0394701153251181,0.189731519951402,"0.190102713857369","0.238011765746694"
"sub-AN05ER02",44,60,2.14285714285714,2.5,2,29,NA,3.08333333333333,3.25,2.33333333333333,3.25,-0.461442780080749,-0.180399160782632,-0.433952549091849,"0.300556557691221","-0.44889447973687"
