"ID","Personality_PTM_Altruism","Personality_AGG_Anger","Personality_NFC_NeedForCognition","Personality_RSTPQ_BIS","Personality_BISBAS_BIS","Personality_BFI_Anxiety","Personality_PSWQ_Concerns","Personality_AVBIS","Covariate_Gender","Covariate_Age","Covariate_BDI_Depression","Covariate_BFI_Extraversion","Covariate_BFI_OpenMindedness","Covariate_BFI_Conscientiousness","Covariate_BFI_Agreeableness","Covariate_BFI_NegativeEmotionality","Personality_Z_sum","Personality_Z_AV_notweighted","Personality_Z_AV_ItemNr","Personality_Z_AV_Reliability","Personality_PCA","Personality_FactorAnalysis"
"sub-AA06WI11",1.2,18,60,66,3.57142857142857,3.75,65,34.7857142857143,1,19,NA,2.91666666666667,2.66666666666667,2.66666666666667,3.75,3.41666666666667,4.12578510546856,1.03144627636714,0.992138699304967,1.21450723690231,"19.2961198338617","1.14424110803294"
"sub-AG04EN28",1.4,11,79,49,2.71428571428571,2.5,38,25.8571428571429,2,24,NA,3.25,3.66666666666667,3.58333333333333,3.58333333333333,2.41666666666667,-2.17375454926545,-0.543438637316363,-0.570150417910532,-0.5835786022818,"-11.7455016631973","-0.604251843943601"
"sub-AG05AS29",1.2,12,84,41,2.71428571428571,1.5,31,21.8571428571429,2,20,NA,4.5,3,3.33333333333333,4,1.66666666666667,-4.55105035649015,-1.13776258912254,-1.11412591425639,-1.08746603659171,"-22.385799551015","-1.23307938397304"
"sub-AH07IF27",3.4,18,95,71,2,3,39,36.5,2,23,NA,4.41666666666667,4.5,2.91666666666667,2.25,3.75,-1.0198751174634,-0.254968779365849,0.0909397120870565,-0.692203436654418,"4.71862265285259","-0.300455379393967"
"sub-AH17AR05",1.6,13,68,52,2.28571428571429,2.5,40,27.1428571428571,2,23,11,3.66666666666667,3.66666666666667,4,3.75,2.08333333333333,-2.5082282752571,-0.627057068814274,-0.518224852233556,-0.666807991923326,"-8.21407521387709","-0.653626466168259"
"sub-AHSAER12",1.6,13,72,62,2.85714285714286,3,43,32.4285714285714,2,28,NA,3,4,2.91666666666667,3.41666666666667,2.41666666666667,0.0346067378659559,0.00865168446648898,0.0792365830007372,-0.18463268781775,"1.07336247281612","-0.0305874955413564"
"sub-AI07AS19",1,11,74,76,4,4.25,67,40,1,23,NA,2.75,3.66666666666667,4.33333333333333,3.91666666666667,3.58333333333333,6.35600590909959,1.5890014772749,1.53214163789888,1.5938354639008,"27.8839223308581","1.68564821698482"
"sub-AI09ID16",1.4,10,100,65,2.42857142857143,2.75,38,33.7142857142857,1,21,23,2.41666666666667,4.08333333333333,4.16666666666667,4.08333333333333,2.08333333333333,-1.14487475174058,-0.286218687935144,-0.0642352073188016,-0.617610993872282,"-0.275681178009092","-0.348897841848623"
"sub-AJ06IR11",2.4,8,70,48,3,3,47,25.5,1,21,NA,3.5,3.08333333333333,4.08333333333333,3.91666666666667,2.5,-0.465337490887154,-0.116334372721789,-0.269030985678474,0.0141304380514586,"-6.17403754586084","-0.118706573753072"
"sub-AJ07AW16",1,15,66,52,3.57142857142857,4,53,27.7857142857143,1,23,NA,2.91666666666667,3.83333333333333,4.25,4.16666666666667,3.33333333333333,2.48470575943289,0.621176439858223,0.246280815132155,0.701608829221015,"0.917682093762447","0.622958873114854"
"sub-AK04IO21",1,14,104,71,3.28571428571429,3.5,68,37.1428571428571,1,21,NA,2.58333333333333,3.25,4.5,3.58333333333333,3.41666666666667,3.94008520557793,0.985021301394483,1.14491430516618,1.19434446455075,"24.9522448236522","1.14132110178663"
"sub-AK06AS07",1.8,11,74,46,2.85714285714286,2,44,24.4285714285714,1,27,NA,4,4,3.5,4.66666666666667,1.91666666666667,-2.32885712795442,-0.582214281988605,-0.543574043570679,-0.359835702018899,"-9.73327763925196","-0.579139281473521"
"sub-AK06RG17",1.4,15,91,78,3.42857142857143,3.75,60,40.7142857142857,2,24,15,2.58333333333333,3,3,3.75,3.08333333333333,4.40097886438111,1.10024471609528,1.24767077976646,0.967202028852595,"24.4139516648573","1.16781998579889"
"sub-AL07NK06",2,9,82,57,2.57142857142857,3,52,29.7857142857143,2,29,5,4,4.33333333333333,4,4.16666666666667,2.75,-0.125559807357119,-0.0313899518392796,0.0611010446516492,0.0765272949514363,"3.74609346650355","0.0255394053595601"
"sub-AL08AS02",1.2,10,65,66,3.14285714285714,3.25,60,34.5714285714286,1,25,NA,2.91666666666667,3.08333333333333,4.08333333333333,4,2.83333333333333,2.41076077052931,0.602690192632327,0.721075320036101,0.729320921585814,"15.7882045909555","0.699910630722994"
"sub-AM04EN20",1.4,7,78,32,2.14285714285714,2.25,33,17.0714285714286,2,23,0,2.83333333333333,3.33333333333333,3.41666666666667,4.41666666666667,1.75,-5.07659061106697,-1.26914765276674,-1.43067099962275,-1.12554312082024,"-27.4339260645977","-1.33936254682656"
"sub-AN03EU29",1.4,13,62,69,3.14285714285714,4,62,36.0714285714286,1,22,NA,4.16666666666667,3.41666666666667,2.33333333333333,4.25,3.5,3.72348532232519,0.930871330581297,0.947354798333145,0.958174014843005,"19.3560858568524","1.02536565401055"
"sub-AN04AD03",1,14,66,43,2.14285714285714,1.25,26,22.5714285714286,2,23,NA,4.25,3.91666666666667,4.16666666666667,3.66666666666667,1.33333333333333,-6.04141706291317,-1.51035426572829,-1.3249105924945,-1.58220586723973,"-24.4552711695683","-1.62298712269317"
"sub-AN04ES31",1,13,78,52,3,3.5,52,27.5,1,22,10,3.41666666666667,3.83333333333333,4.33333333333333,3.83333333333333,3,0.837414640321019,0.209353660080255,0.0394701153251181,0.33143074881026,"0.190102713857363","0.238011765746691"
"sub-AN05ER02",1.4,14,78,60,2.14285714285714,2.5,44,31.0714285714286,2,29,NA,3.08333333333333,3.25,2.33333333333333,3.25,2.58333333333333,-1.845771120323,-0.461442780080749,-0.180399160782632,-0.53191567790584,"0.300556557691225","-0.448894479736866"
"sub-AN08AT08",1.4,9,79,48,3,3,46,25.5,1,26,1,3.16666666666667,4.08333333333333,3.91666666666667,3.75,2.16666666666667,-0.541406975951036,-0.135351743987759,-0.293373220898916,-0.0294406243511057,"-6.87003175640043","-0.146909620076433"
"sub-AR06AS06",2.8,19,50,63,3.42857142857143,4.25,56,33.2142857142857,2,26,NA,3.75,2.25,4.33333333333333,3.5,3.75,3.60663627463585,0.901659068658963,0.687355860311967,0.845138090097901,"10.8951912468722","0.925507944225569"
"sub-AR07AN21",1.8,14,98,59,3.71428571428571,3.75,54,31.3571428571429,1,21,1,3.33333333333333,4.5,4.83333333333333,3.75,2.83333333333333,3.00518204747561,0.751295511868903,0.518113987809582,0.777102995955834,"6.62631557708717","0.760256374399215"
"sub-AR07IM16",1.2,22,75,72,3.85714285714286,4.75,69,37.9285714285714,2,24,7,4,3.5,3,4.66666666666667,3.66666666666667,6.59928092158124,1.64982023039531,1.46092675983211,1.70126249363563,"26.4221430712332","1.75897998567322"
"sub-AR07SA26",1.8,15,64,60,3.85714285714286,3.25,63,31.9285714285714,2,27,18,2.66666666666667,3.25,3.25,4.08333333333333,2.91666666666667,3.37564989353166,0.843912473382915,0.754503573805311,1.1415011229823,"13.5936701869349","0.942652384084186"
"sub-AR10IO04",2.4,16,59,43,2.14285714285714,3.25,37,22.5714285714286,1,20,0,3.25,3.5,3.83333333333333,3.16666666666667,2.66666666666667,-2.70448178186889,-0.676120445467222,-0.857132329442313,-0.744912344051114,"-16.7312498426861","-0.7406384145836"
"sub-AS06AR20",2,12,88,47,2.71428571428571,2.75,41,24.8571428571429,2,22,0,4,3.83333333333333,3.5,4.58333333333333,1.91666666666667,-1.78170571068279,-0.445426427670698,-0.540515255793063,-0.413084955256994,"-11.082582382352","-0.484465459276845"
"sub-AS06FR30",1.8,25,83,78,3.28571428571429,4.5,70,40.6428571428571,1,26,NA,4.5,4.5,3.83333333333333,3.08333333333333,4.33333333333333,5.86269309509488,1.46567327377372,1.53298199891119,1.47789107695887,"31.395784670201","1.61096483313807"
"sub-AT05LI18",2,9,70,43,2.71428571428571,2,34,22.8571428571429,2,21,0,2.83333333333333,2.75,3.83333333333333,4.08333333333333,1.58333333333333,-3.54911818018643,-0.887279545046607,-0.922702536690956,-0.862278870415975,"-18.8472216895178","-0.969104291242406"
"sub-AT06ED25",1,18,79,43,3.14285714285714,4,45,23.0714285714286,1,19,NA,4.5,4.16666666666667,4.66666666666667,4.33333333333333,3.08333333333333,0.497451274142309,0.124362818535577,-0.355575489378941,0.15284269688621,"-11.1122774251639","0.0735308629221574"
"sub-AU05IN13",1,15,63,66,3.57142857142857,3.75,64,34.7857142857143,1,23,17,3.83333333333333,3.5,4,4.08333333333333,3.83333333333333,4.04971562040468,1.01242890510117,0.967796464084525,1.17093617449974,"18.6001256233221","1.11603806170958"
"sub-AU06EL20",1.4,11,60,60,3.57142857142857,3.5,42,31.7857142857143,1,23,10,4.08333333333333,3.5,4.08333333333333,4.16666666666667,3,1.61762262650153,0.404405656625381,0.202085820789556,0.15270826271446,"-1.02097956634256","0.315045180409342"
"sub-AU07ND25",1.4,10,72,31,1.42857142857143,2,28,16.2142857142857,2,23,2,3.41666666666667,2.58333333333333,3.91666666666667,3.83333333333333,2.08333333333333,-7.02652351908316,-1.75663087977079,-1.77716181877672,-1.68701549583969,"-31.6573996280209","-1.83720483208196"
"sub-AU09GE22",2,14,51,75,4,4,58,39.5,1,26,8,2.08333333333333,3.58333333333333,3.16666666666667,3.91666666666667,3.58333333333333,5.28451868296861,1.32112967074215,1.25386318496284,1.1544589127937,"20.8946768210626","1.34213782319429"
"sub-AY05AN24",1.6,14,76,43,2.57142857142857,3.25,36,22.7857142857143,2,21,1,3.33333333333333,3.41666666666667,3.91666666666667,3.08333333333333,3.08333333333333,-2.07091709364832,-0.51772927341208,-0.782125780402932,-0.610655362340111,"-17.4163211157541","-0.608555014851972"
"sub-AZ05AT02",2.8,15,93,76,3.85714285714286,4.5,73,39.9285714285714,1,20,13,4.16666666666667,4.58333333333333,4.66666666666667,4.5,3.83333333333333,6.88839946322244,1.72209986580561,1.67008049725501,1.84073730320671,"32.0647572413068","1.8729520793924"
"sub-BE04NZ10",2.4,14,47,65,3.28571428571429,3,46,34.1428571428571,2,24,2,2.08333333333333,3.08333333333333,2.83333333333333,3.41666666666667,2.75,1.19547084350708,0.298867710876769,0.354201952417799,0.131365073170419,"5.32262900761919","0.268813820667323"
"sub-BE05ED23",1.4,11,82,70,3.71428571428571,4,56,36.8571428571429,1,29,NA,3,4.08333333333333,3.83333333333333,4.5,3.08333333333333,4.28758780204283,1.07189695051071,0.967963059188891,0.936337209134677,"15.9114714988145","1.08803121453823"
"sub-BE06IO12",1.2,8,79,40,2.85714285714286,2,31,21.4285714285714,2,23,3,3.33333333333333,4,3.75,4.16666666666667,2,-3.76380338811494,-0.940950847028735,-1.06520286042825,-0.941172572586051,"-23.081924307692","-1.05479034604443"
"sub-BIRULD31",1,9,96,45,3,2.25,42,24,2,29,NA,3.16666666666667,4.16666666666667,4.08333333333333,3.83333333333333,2.33333333333333,-2.00627049787468,-0.501567624468671,-0.568337169636844,-0.345435842413425,"-11.8299014433765","-0.528770736010708"
"sub-BL05RT22",1.2,11,94,62,3.42857142857143,3.75,58,32.7142857142857,1,26,NA,4,4.08333333333333,3.41666666666667,4.08333333333333,3.5,3.05939201603988,0.764848004009969,0.651840285347382,0.840291745823957,"11.5533714266438","0.820716660172941"
"sub-BY08RD24",2.2,15,83,46,2.57142857142857,3,43,24.2857142857143,1,20,7,4.41666666666667,3.41666666666667,4,2.91666666666667,2.33333333333333,-1.62793058920382,-0.406982647300954,-0.53414196381734,-0.342952875450305,"-10.4025113026326","-0.428142359223911"
"sub-CH04ER19",1.6,16,76,70,3.71428571428571,4.25,66,36.8571428571429,1,23,NA,2.75,4.25,4.25,3.66666666666667,3.91666666666667,5.36080402084935,1.34020100521234,1.23638712084673,1.41679931275537,"22.8799242305788","1.44157607759092"
"sub-CH04OB30",2.6,13,82,47,2.57142857142857,3,38,24.7857142857143,2,23,NA,3.25,3,1.91666666666667,3.58333333333333,2.5,-1.93393752213489,-0.483484380533721,-0.621656513420915,-0.558322677574157,"-13.1656953667597","-0.550989013779517"
"sub-CH05AN22",1.4,9,70,50,2.57142857142857,2.5,38,26.2857142857143,2,23,2,3.16666666666667,4,4.33333333333333,4.16666666666667,2.16666666666667,-2.33595878130526,-0.583989695326314,-0.569070052831835,-0.640369107097352,"-11.0323556537837","-0.639512082234061"
"sub-CH05EL08",1,14,73,55,2,3.25,39,28.5,2,21,NA,3.33333333333333,3.5,2.66666666666667,3.75,2.66666666666667,-1.89680162750917,-0.474200406877292,-0.431204602437722,-0.687220115282875,"-6.74145853791339","-0.519638212554119"
"sub-CH05ER25",1.4,9,94,46,2.71428571428571,2.25,35,24.3571428571429,2,18,NA,4.66666666666667,3.83333333333333,3.66666666666667,2.75,2.08333333333333,-2.93750584978982,-0.734376462447456,-0.770768712521186,-0.766499798751452,"-15.9923558868971","-0.814881113916365"
"sub-CH05NK28",1.2,8,82,54,2.85714285714286,2.25,47,28.4285714285714,2,24,NA,3.5,3.58333333333333,3.08333333333333,3.33333333333333,2.25,-1.19340336548834,-0.298350841372086,-0.171972616466838,-0.164486956104401,"-1.90248847269769","-0.277667126194748"
"sub-CH06IM14",1.6,10,85,51,2.71428571428571,2.75,49,26.8571428571429,1,25,NA,3.41666666666667,3.75,4.41666666666667,4.08333333333333,2.25,-0.875787860618368,-0.218946965154592,-0.208990868034976,-0.0545744164806026,"-2.64748074375172","-0.186166780445147"
"sub-CH06IN24",1.6,14,67,71,3.28571428571429,3.5,50,37.1428571428571,2,24,16,3.25,3.08333333333333,3.66666666666667,3.83333333333333,3,2.57083447442805,0.642708618607013,0.706754071198223,0.410065341304594,"12.4243490339396","0.633666267966128"
"sub-CH06LI22",1,17,90,59,3.14285714285714,3,51,31.0714285714286,1,23,NA,2.83333333333333,4.25,4.08333333333333,3.16666666666667,3.16666666666667,0.893230590068278,0.223307647517069,0.237617108108245,0.275031311144899,"4.49823714973457","0.247388774565254"
"sub-CH06ND30",1.6,17,68,59,3.42857142857143,3.25,36,31.2142857142857,1,21,6,3.41666666666667,3.33333333333333,3.33333333333333,4.16666666666667,3.5,0.537799131134049,0.134449782783512,-0.0362821879050913,-0.215231115889468,"-5.92588342367654","0.00271511023723547"
"sub-CH06NK10",2.2,16,80,44,2.71428571428571,3,40,23.3571428571429,1,23,NA,4.41666666666667,2.91666666666667,4.58333333333333,4.25,2.33333333333333,-1.768275304744,-0.442068826186,-0.642445661056001,-0.419361067731415,"-13.920426932236","-0.495659836964737"
"sub-CH06NK12",1,13,103,27,1.42857142857143,1,23,14.2142857142857,2,24,0,4.41666666666667,4.08333333333333,4.5,2.83333333333333,1,-8.95431838662672,-2.23857959665668,-2.13566633868715,-2.09381876578859,"-38.0385611404758","-2.33695197121987"
"sub-CH06RT03",1.6,12,86,51,3.28571428571429,2.75,45,27.1428571428571,1,20,NA,3.83333333333333,3.75,3.16666666666667,3.91666666666667,2.5,-0.233886903161286,-0.0584717257903214,-0.17389476323698,0.00824539272723289,"-5.41689366928127","-0.0852637043319365"
"sub-CH06UT07",1,13,72,51,3,3.25,39,27,1,22,NA,3.58333333333333,4.5,2.83333333333333,3.66666666666667,2.75,-0.538350526065488,-0.134587631516372,-0.336177278492685,-0.282230051907097,"-9.58311963809654","-0.218310813337284"
"sub-CH07AD15",1.4,19,90,56,3.71428571428571,3.5,55,29.8571428571429,1,26,1,3.91666666666667,4.75,4.41666666666667,4.08333333333333,3.58333333333333,2.54570868720677,0.636427171801693,0.414864634080697,0.768466049096439,"5.16343819554574","0.662439289719896"
"sub-CH07DO06",1,9,80,37,2.14285714285714,2.25,35,19.5714285714286,1,30,0,3.75,3.33333333333333,3.83333333333333,3.5,2.08333333333333,-4.55274917899749,-1.13818729474937,-1.21100339668868,-1.02597344657026,"-22.458002700664","-1.19211356887383"
"sub-CH07IM11",1,16,80,27,2.42857142857143,1.75,24,14.7142857142857,2,29,3,2.83333333333333,3.33333333333333,3.75,4,1.58333333333333,-6.2848717260627,-1.57121793151568,-1.80450514516687,-1.50106116166922,"-37.2915481967307","-1.72020401797765"
"sub-CH07LF13",2.2,10,52,30,2.71428571428571,2,31,16.3571428571429,1,20,0,3.75,2.5,4.33333333333333,3.83333333333333,1.91666666666667,-4.74375303642652,-1.18593825910663,-1.44028538683457,-1.02530368618027,"-30.2534351725582","-1.28990493200811"
"sub-CH07LF18",1.4,12,49,60,2.85714285714286,3.75,47,31.4285714285714,2,23,NA,2.5,3.16666666666667,3.58333333333333,4.25,2.91666666666667,1.12776779784789,0.281941949461974,0.18321739924548,0.118934980799723,"2.44929721693771","0.26043073508691"
